"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(5.0.0)","ROU.CPI._T.SRP_IX.A","OBS_VALUE","Romania","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","0.02338892589898712","0.07732905033758518","0.2406523254963779","0.8547173123784562","2.023623519075686","2.676090023120545","3.715197082281807","9.464965391889335","15.05843649735572","21.95576979260155","31.98222205302931","43.00873669984964","52.70285703409026","60.75242210251821","67.96638559491406","74.09349601233416","78.952928412357","82.77214153834442","89.27041894284029","94.25833222300475","100","105.7892532881588","109.3172430858252","113.6732207777376","114.8876030226317","114.2049909333888","112.4407560386014","113.9463616118164","119.2169328282924","123.780383348878","127.037135732912","133.4554694786531","151.8663037478349","167.6561280621276","177.2484154024783"
"IMF.STA:CPI(5.0.0)","GRC.CPI._T.SRP_IX.A","OBS_VALUE","Greece","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","29.80381027765731","35.60239360148016","41.25501190544498","47.20038076751544","52.33298589385425","57.00868392869007","61.68029027826408","65.09491279353535","68.19748327210084","69.99560066229092","72.20128916862622","74.63733779335141","77.34619452002621","80.07701815160349","82.3983292768991","85.31940998083104","88.0461729692533","90.59511250754361","94.3573436953788","95.49913614431249","100","103.3298532335065","104.8813788393728","103.9151387329221","102.5515009315863","100.7713216842263","99.93929925766332","101.0598731681602","101.6921253751093","101.9494141016288","100.6771021783917","101.909213734394","111.7386221722644","115.6101433892801","118.7795844386456"
"IMF.STA:CPI(5.0.0)","CYP.CPI._T.SRP_IX.A","OBS_VALUE","Cyprus","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","53.27882929262211","55.96156453847605","59.6047852427218","62.49810085971241","65.43462994600349","67.14628069555718","69.14651794699403","71.63948808977086","73.2354062146447","74.4291433359434","77.51174364252843","79.04108283542497","81.2551461202728","84.6183497483865","86.55290890300822","88.76880300093614","90.81464635650101","92.96936173126859","97.31010905761519","97.627609223749","99.99999999999999","103.2894493956421","105.7570902217332","105.3347411635273","103.9074671608839","101.7285299742308","100.2746597333491","100.807886777964","102.2549751168474","102.5109919172826","101.8565383744483","104.3480396210672","113.108561527348","117.1141223950835","119.2224461787994"
"IMF.STA:CPI(5.0.0)","BLR.CPI._T.SRP_IX.A","OBS_VALUE","Belarus, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","0.000144697526067745","0.001866929781465565","0.04333174957659432","0.3507037958457371","0.5355670498883118","0.8779945165489591","1.517786636503742","5.975203471759824","16.0506056584144","25.86313269975778","36.86467522110499","47.33344667496982","55.90470197953012","61.68462172172373","66.00077429856388","71.56249635192433","82.18085116864931","92.81970173908432","100","153.2286983118174","243.9703289639406","288.6468124585658","340.9483285292549","387.0939451578951","432.9126326142876","459.0252180559684","481.3903138791422","508.3392943802096","536.5426882783548","587.3011498139572","676.6277475816038","710.4631881700588","751.5657507241379"
"IMF.STA:CPI(5.0.0)","BGR.CPI._T.SRP_IX.A","OBS_VALUE","Bulgaria","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","0.03532664822736963","0.1548893752650741","0.2963001728957441","0.5122401577786673","1.004284418883991","1.627491444734761","3.606643794248498","41.77840808781398","49.57935785861041","50.85505596564914","56.10139684491464","60.23098659759118","63.7304934450711","65.22729438707868","69.23690145282346","72.72563680249149","78.00667773750142","84.56121550492413","95.00344289747333","97.61907981459441","99.99999999999997","104.2199034660187","107.2991516943552","108.2542145130411","106.7189707771329","106.6073072378942","105.7558880996874","107.9361474641377","110.9740586232575","114.4183931603526","116.3319732431316","120.1683043214848","138.5844081062607","151.670713970091","155.3813674570812"
"IMF.STA:CPI(5.0.0)","HUN.CPI._T.SRP_IX.A","OBS_VALUE","Hungary","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","9.229405290278252","12.44285743730677","15.38630504981105","18.84272071453108","22.39797938852627","28.73783236001372","35.48232291308826","41.97738852627963","47.91877980075573","52.7095767777396","57.87701820680177","63.15355547921674","66.47887323943659","69.57746478873236","74.27001030573683","76.91514943318443","79.93816557883885","86.30024046719338","91.51494331844724","95.36928890415662","100","103.9299209893507","109.8041909996564","111.7073170731706","111.4531088972862","111.3844039848849","111.8241154242528","114.450017176228","117.7121264170388","121.6420474063895","125.6887667468224","132.112676056338","151.4118859498454","177.3411198900721","183.9093095156303"
"IMF.STA:CPI(5.0.0)","LVA.CPI._T.SRP_IX.A","OBS_VALUE","Latvia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","1.129990427072514","11.88406632392594","24.83645561786268","33.75887912863416","42.19047501601794","49.62041589537577","53.81204268111802","56.3111892229428","57.64284656505089","59.17283457415618","60.64448666018792","61.82030789881593","63.63946166192029","67.58026244031576","72.14088284947163","76.85615457610778","84.61322903010337","97.64562857163239","101.0965293011559","100","104.3707355993922","106.7272068413738","106.6957705792578","107.3578078454916","107.5448704985884","107.69611443606","110.8520016592023","113.6614949174473","116.8569846432734","117.1129772854836","120.9493985965323","141.8860818044366","154.5679253945454","156.5244444294679"
"IMF.STA:CPI(5.0.0)","MNE.CPI._T.SRP_IX.A","OBS_VALUE","Montenegro","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","","","","","","","","","","","","","82.2054794520548","84.60958904109591","88.2876712328767","96.0205479452052","99.3493150684929","100","103.4501431124869","107.738407324783","110.11500096703","109.3326184121184","111.0258434700929","110.724535958828","113.3600412140688","116.3201255702588","116.7406969253971","116.4422426796644","119.2494345764367","134.7999229278674","146.3721850643416","151.2562590853428"
"IMF.STA:CPI(5.0.0)","SRB.CPI._T.SRP_IX.A","OBS_VALUE","Serbia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","","1.413437127146466","2.581791538282524","5.050008159389507","6.227057301027044","8.10511908934622","11.54605868530597","19.75768822329535","38.528524534673","46.03805458466798","50.58485521628447","56.16252483298235","65.21591296764603","72.86184160238289","77.5189566272369","87.13982408249921","94.21292083712465","100","111.1373976342129","119.2841977555354","128.4622383985441","131.1373976342129","132.9632999696694","134.4555656657568","138.6654534425235","141.3830755232029","143.9975735517136","146.2663026994237","152.2414316044889","170.4822565969063","191.5741583257507","200.5216863815591"
"IMF.STA:CPI(5.0.0)","SVK.CPI._T.SRP_IX.A","OBS_VALUE","Slovak Republic","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","26.11865679915739","28.7027074671545","35.3867148955042","40.1340268307556","44.08365485891678","46.62985087865182","49.49385165474806","52.79293918731636","58.37338599700649","65.39907866289706","70.1925827374023","72.38760463440326","78.57974388824215","84.51133654858919","86.80082044459225","90.69238871334329","93.19252730195683","97.4776872332169","99.05205388325296","100","103.9192859914629","107.6667221021121","109.1745662176395","109.0914130495038","108.7366261987915","108.1711846554688","109.5903320583181","112.3454736958812","115.3389877487665","117.5730361993458","121.276123953656","136.7681135317923","151.1724596707135","155.3412051665835"
"IMF.STA:CPI(5.0.0)","HRV.CPI._T.SRP_IX.A","OBS_VALUE","Croatia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","0.108485967645282","0.2410799281006258","1.747829478729539","27.96527165967267","57.97972270820055","60.26998202515654","62.86159125223824","65.48333547033254","69.67209922108093","72.47231756298083","75.81424481030773","78.67752326413743","79.99284180386543","81.40658554044383","83.07981388690042","85.83571939871153","88.57372942018612","91.14173228346454","96.68038654259127","98.9799570508232","100","102.2727272727273","105.7623478883321","108.1066571224051","107.8740157480314","107.3729420186113","106.1649964209019","107.3639942734431","108.9745884037223","109.8156764495347","109.9856836077309","112.7952755905512","124.9552612741589","134.8783106657123","138.8869005010737"
"IMF.STA:CPI(5.0.0)","LTU.CPI._T.SRP_IX.A","OBS_VALUE","Lithuania, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","0.3728754061606457","4.178518484171558","21.32932526278186","36.7407613223404","51.30760207525902","63.94219933439383","69.6209370594386","73.14901554166212","73.68121166255607","74.40447784124555","75.42167656800716","75.63399357317956","74.7760707174463","75.64654084180776","77.65759266256531","80.56130327286396","85.18324527972915","94.49026922994471","98.69796302851777","99.99999999999995","104.1302756264508","107.3478832022387","108.4723301336153","108.5848788641483","107.6248827673444","108.5994530682375","112.6424897511954","115.6815027878882","118.3820983212579","119.8025585486137","125.4135643417925","150.1263650760095","163.8138656197394","164.9863401590533"
"IMF.STA:CPI(5.0.0)","EST.CPI._T.SRP_IX.A","OBS_VALUE","Estonia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","11.63777857283556","22.08989433263042","32.61676513485707","42.00276564595222","51.68454734363717","57.15374357020401","61.84511335492472","63.88359687559534","66.45075252429035","70.27052771956562","72.78052962469043","73.75214326538383","76.00019051247856","79.10078110116211","82.61097351876549","88.06439321775579","97.18994094113163","97.11373594970471","100","104.9819013145361","109.1112592874834","112.1451705086683","112.0261002095637","111.4745665841112","111.6403124404648","115.4553248237759","119.4227471899409","122.1423128214898","121.5993522575729","127.257572871023","151.94333206325","165.8601638407315","171.6993713088208"
"IMF.STA:CPI(5.0.0)","BIH.CPI._T.SRP_IX.A","OBS_VALUE","Bosnia and Herzegovina","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","","","","","","","","","","","","","85.04970120560149","90.25947691860346","91.61407048429739","98.41828698788085","98.04285637561994","100","103.67125","105.7992833333333","105.7008416666667","104.7525","103.6672399710423","102.025047222661","102.8515861269501","104.3091043262597","104.896137350469","103.7933684463403","105.8501783209858","120.6912667846069","128.0605562051884","130.2275038833665"
"IMF.STA:CPI(5.0.0)","MKD.CPI._T.SRP_IX.A","OBS_VALUE","North Macedonia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","27.59156585944253","62.51789930103832","72.75432316674229","74.54888136441759","75.51381589693243","75.92476182065045","74.95346653502673","79.90595905499011","84.06017818011642","86.00583333333326","86.74166666666659","86.35249999999991","86.80629616134046","89.59592872560891","91.61341220317969","99.2465470435175","98.51248587441818","100","103.9047542206973","107.3502937111868","110.3399999999999","110.0291666666666","109.6991666666665","109.4366666666666","110.9158333333333","112.5333333333332","113.3958333333332","114.7566666666666","118.4641666666666","135.2916666666666","147.9574999999999","153.1208333333331"
"IMF.STA:CPI(5.0.0)","KOS.CPI._T.SRP_IX.A","OBS_VALUE","Kosovo, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","","","","","","","","","","","","89.35962603693667","88.39024153357742","87.44912679660805","86.23779099654846","86.77388558419626","90.55592274362933","99.02327972387461","96.63655724462073","100","107.3364177131527","109.9948593669677","111.9388252272156","112.418995558574","111.8153849283962","112.1208303792264","113.789451041016","114.9885617005188","118.0656464428955","118.2996855216097","122.2670918918056","136.426245250384","143.1716013658125","145.4901937862383"
"IMF.STA:CPI(5.0.0)","SVN.CPI._T.SRP_IX.A","OBS_VALUE","Slovenia, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","3.720053502847305","7.991900145676068","24.76959431421888","32.63694521696907","39.48803337306317","44.80459541782546","49.22432260627732","53.33931841257231","57.54841301372886","61.09085595726834","66.53511676157686","72.11053723568625","77.50496622963847","81.80196883415003","84.74109389484837","86.81852293294486","88.95245662826119","92.20588884474462","97.41314616165629","98.23069792080522","100","101.8028517194191","104.4470931002516","106.2949719683928","106.5068644329669","105.9471151723833","105.8888447446254","107.4021100957931","109.2694124398535","111.0510749128152","110.9901558292501","113.1179093276829","123.1104048028959","132.2782854368074","134.8783825541871"
"IMF.STA:CPI(5.0.0)","POL.CPI._T.SRP_IX.A","OBS_VALUE","Poland, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","6.98370529558457","12.34506087721873","18.0359564324483","24.70279741821917","32.85256564471177","42.03531392107968","50.35619040633713","57.86588895408542","64.57709109578996","69.19698327710139","76.04760598503745","80.16051562270797","81.6877996186006","82.24548335044747","85.02755757664665","86.88438829397099","88.00058676837322","90.16429514449179","93.91961273287372","97.48423059997069","100","104.2394014962594","107.9507114566525","109.0215637377146","109.080240575033","108.126741968608","107.4079507114568","109.6376705295585","111.6253483937216","114.1117793750917","117.9624468241162","123.9254804166056","141.8072465894089","158.1560803872672","164.141117793751"
"IMF.STA:CPI(5.0.0)","ALB.CPI._T.SRP_IX.A","OBS_VALUE","Albania","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","5.114499742529291","16.6735464306431","30.84685309668301","37.80746175219584","40.75387987017446","45.94000580924195","61.18302578482111","73.81295144817842","74.10040687432279","74.13747051686674","76.44135785455664","82.38125331474654","82.77998073243871","84.66738016154822","86.67110310374495","88.72583948945223","91.32788664083254","94.36076785542801","96.4998529504904","99.99999999999997","103.428071301415","105.5293084311282","107.5740662635516","109.3230754033681","111.3960311635077","112.8168114393227","115.0580994078581","117.3915462738126","119.0480475709839","120.9776814420642","123.4474064890239","131.7494948221919","138.0185910481879","141.0769087785867"
"IMF.STA:CPI(5.0.0)","MDA.CPI._T.SRP_IX.A","OBS_VALUE","Moldova, Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Annual","Units","","0.0100141858847122","0.1128424766994547","1.933673181739618","11.3395550181904","14.7261823421022","18.18767124150687","20.32887530322569","21.89333780931548","30.48778227195615","40.03024519085168","43.93906367479955","46.26838060872637","51.70310124227912","58.17854077818711","65.13621935675288","73.45916639246076","82.54398406054012","93.09562055483933","93.03723228802799","99.99999999999999","107.6872510335618","112.5830734355477","117.7595068969087","123.7520356632241","135.7265800485256","144.3578526423132","153.8424955472438","158.5270825706378","166.1962796369208","172.4551837008356","181.2614546715743","233.3510984735225","264.6598397132059","277.0399260900568"
